Gedad Vict;Año I;Canton;Provincia;Tipo muerte SRMCE2;NDD;Accion Infraccion;Agravantes 142 1;Agravantes 142 2;Agravantes 142 3;Agravantes 142 4;Ambito Genero;anteced VBG vict;Anteced Vic;Anteced Vict;Antecedentes2;antecedVBG vic vict;Años Privac;Apelacion;Area;Arma Especif;Atenuantes Art 42;Casacion;Categoria Tipificada;Categoria Vict;Circunstancias Art 140;Cod Provin;Cuenta Noticia Delito;Cuenta Victima;Defensor Publico;Delito Sent Ejec;Delito Sentencia;Dictamen;Disc Vic;Edad Reproductiva;Edad Vic;Edad Vict;Embarazo Vic;Estado Causa;Estado Ppl;Estcivil Vic;Estcivil Vict;Etnia Vic;Etnia Vict;Fecha Acta;fecha actualizacionCJ;Fecha Detencion;Fecha I;fecha ingresaMatriz;Fecha M;Fecha Ndd;Fecha Proceso;fecha reformulacion NDD;Fecha Sentencia;Fechafallec Vict;Garantia No Repeticion;Gedad Vic;Glbti Vic;Hijos Vic;Hora Acta;Hora I;Hora Ndd;Id Victima;Indemnizacion;Indicio Asex;Ingresa;Intento Suicidio;Latitud;Longitud;Lugar Especif;Lugar Hecho;Mas Buscados;Med Cautelares Art522;Mes I;Mod Tipo Penal Otro;Muerte Victimario;Nac Vic;Nac Vict;Ndd Pd;Ndd Reformulacion;ndd tipoPenal Actual;ndd tipoPenal Inicia;Niña Adoles;Nivel Educación Vic;Nivin Vic;Nivin Vict;Noticia Delito;Num Vic Conex;Numero Juicio;Numhijos Vic;Ocupa Vic;Ocupa Vict;Orden Captura;Otros Agravantes Art 47;Otros Victimarios;Otrosproced Vict;Otrosproced Vict2;otrosProces vic vict;Pcausa M;Ppl Menor;Presun Motiva;presun motivaEsp;Privac Modif;Profesion Vic;Profesion Vict;Profugo Victimario;Rehabilitacion;rela vicConex;Relacion Vic Agresor;reportada PD;Resol Apela;Resol Casac;Restitucion;Satisfaccion Simbolica;Sexo Vic;Sexo Vict;Termina Causa;Tipo Arma;Tipo muerte SRMCE;Tipo Sent Ejec;Tipo Sentencia;Vic Conex;Victimas Indirect
ENTRE 15 Y 24 AÑOS;2014;QUITO;PICHINCHA;FEMICIDIO;170101814024772;;NO;SI;SI;NO;PRIVADO;NO;NO;NO;;NO;26 AÑOS;NO;URBANA;CUCHILLO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NO DETERMINADO;SI;20;24;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;27/2/2014;;30/5/2016;10/8/2014;;27/2/2014;27/2/2014;29/5/2016;;23/12/2016 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;SI;08:30;05:29;30/12/1899 14:35:02;8635;SI;NO;SAI;SIN DATO;-0,155623;-78,469475;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;EDUCACION BASICA;PRIMARIA;1;NO APLICA;17282201603016;2;SIN DATO;PALMICULTOR;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"1 HIJO/A; MADRE"
ENTRE 35 Y 44 AÑOS;2014;RIOBAMBA;CHIMBORAZO;FEMICIDIO;060101814080188;;NO;SI;NO;NO;PRIVADO;NO;NO;ASESINATO;SI;NO;26 AÑOS;SI;URBANA;CUCHILLO;NO;SI;FEMICIDIO;SENTENCIADO;NO APLICA;06;1;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NO DETERMINADO;SI;39;40;NO;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;12/8/2014;;28/8/2014;12/8/2014;;12/8/2014;13/8/2014;12/8/2014;;24/12/2014 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;NO;SI;08:30;08:00;30/12/1899 8:47:48;4821;SI;NO;FLAGRANCIA;SIN DATO;-1,680753;-78,635879;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;REFORMULACION A 141 FEMICIDIO;141 FEMICIDIO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;SUPERIOR;1;NO APLICA;0628220143779;1;TRABAJADORA DEL HOGAR NO REMUNERADA;TECNICO ELECTROMECANICO;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;EMPLEADA;TLGO.ELECTROMECANICO;NO;NO;NO APLICA;CONYUGE;NO;RATIFICA SENTENCIA;ABANDONO DEL RECURSO;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"MADRE; HERMANAS/OS"
ENTRE 25 Y 34 AÑOS;2014;IBARRA;IMBABURA;FEMICIDIO;100101814080148;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;OBJETO CONTUSO;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;10;1;1;;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;SI;22;27;NO;INVESTIGACION PREVIA;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;13/8/2014;;30/12/1899;13/8/2014;;13/8/2014;14/8/2014;30/12/1899;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 15 Y 24 AÑOS;NO;NO;23:00;12:00;30/12/1899 15:00:50;4944;NO APLICA;NO;SAI;NO;0,337521;-78,125282;DOMICILIO DEL VICTIMARIO;CASA/VILLA;SI;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;SUPERIOR;1;NO APLICA;;NO APLICA;ESTUDIANTE;ESTUDIANTE;SI;NO APLICA;NO;NO;;NO;HERIDAS CONTUSAS;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;ESTUDIANTE;ESTUDIANTE;SI;NO APLICA;NO APLICA;PAREJA;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA CONTUNDENTE;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2014;NOBOL;GUAYAS;FEMICIDIO;090101816070930;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;ROBO;SI;NO;NO APLICA;NO APLICA;RURAL;CORTO PUNZANTE;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;09;1;1;;NO APLICA;NO APLICA;ABSTENTIVO;NO DETERMINADO;NO;51;35;NO APLICA;INVESTIGACION PREVIA;NO APLICA;VIUDO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;27/8/2014;;30/12/1899;14/8/2014;;4/7/2016;15/7/2016;30/12/1899;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 45 Y 64 AÑOS;NO;NO;12:30;00:00;30/12/1899 11:27:37;5910;NO APLICA;NO;FLAGRANCIA;SIN DATO;-1,912146;-80,028336;DOMICILIO DE LA VICTIMA;HACIENDAS;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;SIN DATO;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;BACHILLERATO;1;NO APLICA;;NO APLICA;SIN DATO;CHOFER;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;LITIGIO DE BIENES;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO APLICA;NO APLICA;CONVIVIENTE;SI;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
DE 65 AÑOS Y MÁS;2014;ALFREDO BAQUERIZO MORENO;GUAYAS;OTRAS MUERTES VIOLENTAS;092001814080080;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;VIOLENCIA FISICA Y PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;NO APLICA;NO APLICA;RURAL;CUCHILLO;NO APLICA;NO APLICA;ASESINATO;SOSPECHOSO;NO APLICA;09;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;30;70;SIN DATO;INVESTIGACION PREVIA;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;17/8/2014;;30/12/1899;17/8/2014;;17/8/2014;21/8/2014;21/10/2014;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 25 Y 34 AÑOS;NO;SIN DATO;20:30;16:00;30/12/1899 14:03:50;5196;NO APLICA;NO;SAI;NO;-1,919422;-79,58477;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;SIN DATO;1;NO APLICA;0926120140870;SIN DATO;TRABAJADORA DEL HOGAR NO REMUNERADA;SIN DATO;SI;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;JORNALERO;SI;NO APLICA;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;HOMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2014;GUAYAQUIL;GUAYAS;OTRAS MUERTES VIOLENTAS;090101814083113;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;REVOLVER;NO APLICA;NO APLICA;ASESINATO;FALLECIDO;NO APLICA;09;1;1;;NO APLICA;NO APLICA;NO APLICA;NO DETERMINADO;SI;22;28;NO;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;19/8/2014;;NO APLICA;19/8/2014;;19/8/2014;19/8/2014;5/10/2017;;30/12/1899 0:00:00;19/8/2014;NO APLICA;ENTRE 15 Y 24 AÑOS;NO;SI;07:20;05:00;30/12/1899 14:05:04;5228;NO APLICA;NO;SAI;NO APLICA;-2,078139;-79,932552;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;8;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;EDUCACION BASICA;1;NO APLICA;09286201710911G;1;OTROS;SIN DATO;NO APLICA;NO APLICA;NO;JUICO DE ALIMENTOS;;NO;HERIDA POR ARMA DE FUEGO;NO;SICOPATOLOGIAS;TRANSTORNOS MENTALES;NO APLICA;ESTUDIANTE;ESTUDIANTE;NO APLICA;NO APLICA;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;ARMA DE FUEGO;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2014;ESMERALDAS;ESMERALDAS;FEMICIDIO;080101814090103;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;08;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;24;30;SI;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;29/8/2014;;NO APLICA;29/8/2014;;28/8/2014;4/9/2014;30/12/1899;;30/12/1899 0:00:00;28/8/2014;NO APLICA;ENTRE 15 Y 24 AÑOS;NO;SIN DATO;07:30;01:00;30/12/1899 15:01:36;5955;NO APLICA;NO;SAI;NO APLICA;0,914861;-79,683405;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;8;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;NO APLICA;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;PRIMARIA;1;NO APLICA;NO APLICA;SIN DATO;SIN DATO;ALBAÑIL;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;OBRERO;NO APLICA;NO APLICA;NO APLICA;PAREJA;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2014;CUENCA;AZUAY;OTRAS MUERTES VIOLENTAS;010101814080942;144 HOMICIDIO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;NO;;NO;17 AÑOS Y 4 MESES;SI;URBANA;PISTOLA;NO;SI;HOMICIDIO;SENTENCIADO;NO APLICA;01;1;1;;144 HOMICIDIO;144 HOMICIDIO;ACUSATORIO;NO DETERMINADO;SI;37;36;SIN DATO;RESUELTA;SENTENCIADO;SOLTERO/A;DIVORCIADO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;30/8/2014;27/6/2021;30/8/2014;30/8/2014;;30/8/2014;31/8/2014;31/8/2014;;8/4/2015 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;NO;SI;23:00;22:00;30/12/1899 15:50:10;5981;SI;NO;FLAGRANCIA;SIN DATO;-2,926427;-79,046375;OTRO LUGAR;NIGHT CLUBS;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;144 HOMICIDIO;144 HOMICIDIO;;BACHILLERATO;SECUNDARIA;SECUNDARIA;1;NO APLICA;0165220141803;1;TRABAJADORA SEXUAL;CHOFER;NO APLICA;47.1;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA COMUNITARIA;RIÑAS;NO APLICA;CONTADOR BACHILLER;CHOFER PROFESIONAL;NO;NO;NO APLICA;CONOCIDO/A;NO;NEGANDO RECURSO;NEGANDO RECURSO;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;HOMICIDIO;CONDENATORIA;CONDENATORIA;NO;HERMANA
ENTRE 35 Y 44 AÑOS;2014;ATACAMES;ESMERALDAS;OTRAS MUERTES VIOLENTAS;080601814090002;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;SIN DATO;NO;;NO;22 AÑOS;SI;URBANA;CORTO PUNZANTE;NO;NO;ASESINATO;SENTENCIADO;2;08;1;1;SI;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;SI;24;35;SIN DATO;RESUELTA;SENTENCIADO;SOLTERO/A;CASADO/A;MESTIZO/A;MESTIZO/A;31/8/2014;;9/11/2017;31/8/2014;;31/8/2014;1/9/2014;17/9/2014;;1/2/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;SI;13:31;06:00;30/12/1899 10:53:55;6044;SI;NO;SAI;SIN DATO;0,873046;-79,842454;OTRO LUGAR;VIA PUBLICA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;PRIMARIA;1;NO APLICA;0830820146445;1;COMERCIANTE;COMERCIANTE;NO APLICA;NO;SI;NO;;NO;HERIDA POR ARMA BLANCA;NO;DELINCUENCIA COMUN;AMENAZA;NO APLICA;QUEHACER. DOMESTICOS;COMERCIANTE;NO;NO;NO APLICA;PAREJA;NO;NEGANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;ASESINATO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 15 Y 24 AÑOS;2014;MANTA;MANABI;FEMICIDIO;130801815080439;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;SIN DATO;SECUESTRO EXTORSIVO;SI;NO IDENTIFICADO;NO APLICA;NO;URBANA;CUCHILLO;NO APLICA;NO;FEMICIDIO;NO IDENTIFICADO;NO APLICA;13;1;1;;NO APLICA;NO APLICA;ACUSATORIO;NINGUNA;SI;22;19;NO;RESUELTA;LIBRE;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;2/9/2014;;26/9/2014;31/8/2014;;1/9/2014;26/8/2015;26/9/2014;;19/11/2015 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 15 Y 24 AÑOS;NO;NO;15:24;22:16;30/12/1899 15:14:37;8645;NO APLICA;NO;SAI;NO IDENTIFICADO;-0,978640413;-80,716620684;OTRO DOMICILIO;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO IDENTIFICADO;ECUADOR;ECUADOR;NO APLICA;NO;141 FEMICIDIO;141 FEMICIDIO;;SIN DATO;SIN DATO;EDUCACION BASICA;1;NO APLICA;1328420141458;NO APLICA;EMPLEADA PRIVADA;SIN DATO;NO APLICA;NO APLICA;NO;NO;;NO IDENTIFICADO;HERIDA POR ARMA BLANCA;NO;DELINCUENCIA COMUN;VIOLACION SEXUAL (DESCONOCIDO);NO APLICA;SIN DATO;OBRERO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;RATIFICATORIA DE INOCENCIA;RATIFICATORIA DE INOCENCIA;NO;NO APLICA
